"GRID_ID","s_j_erhjahr","bfs_akt","raumplanreg_code","bezirk_code","typ","c_zone","n_qmareal","n_zimmer","n_qmwhg","gbauj","neubau","lage","lage_class","seedist","distparade","id_ha_geb","n_preis","id_grid"
"S-26",2013,62,102,103,"STW",3,0,0,NA,1928,0,2,"günstig",5000,9.4,53269,192084.498298704,1349
"AN-42",2017,117,108,105,"STW",3,0,0,NA,1955,0,2,"günstig",5000,23.6,68458,497762.467705877,890
"S-35",2011,261,101,112,"MFH",1,950,NA,NA,1930,0,6,"sehr hoch",1906,3,10330,1320320.69347531,1074
"AC-26",2007,176,109,108,"Land",1,410,NA,NA,NA,NA,1,"sehr günstig",5000,15.2,521,1905.0806726875,412
"O-49",2013,6,105,101,"Land",1,11430,NA,NA,NA,NA,2,"günstig",5000,15.8,4882,724.177610288374,706
"AK-45",2007,112,108,105,"STW",1,0,0,NA,NA,NA,2,"günstig",2752,22.8,60496,1074163.81804179,794
"Y-30",2009,200,102,109,"Land",1,500,NA,NA,NA,NA,4,"gehoben",5000,9.6,2553,2538.54457887821,1242
"AI-23",2013,230,109,110,"STW",1,0,0,NA,2013,1,3,"mittel",5000,21.6,37018,2303031.79273417,1463
"U-13",2012,28,110,102,"STW",3,0,4,NA,1980,0,1,"sehr günstig",5000,23.4,62650,2394708.18638417,1738
"AD-21",2010,230,109,110,"STW",11,0,4,NA,2003,0,2,"günstig",5000,19.8,55165,2511943.39752232,1530
"Y-47",2011,142,106,106,"STW",11,0,0,NA,2011,1,4,"gehoben",278,16,52406,2204930.92329358,68
"Y-48",2015,142,106,106,"EFH",1,580,6,200,1970,0,4,"gehoben",895,17,7987,2429033.10692695,732
"Y-26",2007,64,102,103,"EFH",1,570,NA,NA,1995,0,4,"gehoben",5000,12.4,41369,1460397.93938294,1355
"AU-40",2010,114,108,105,"STW",3,0,4,NA,1992,0,1,"sehr günstig",5000,29.6,81646,1798179.47141151,960
"AM-44",2009,112,108,105,"STW",3,0,0,NA,2004,0,2,"günstig",4093,23.8,58544,2007440.44972537,826
"AG-20",2014,230,109,110,"EFH",1,370,NA,NA,NA,NA,3,"mittel",5000,22.2,81508,2139953.29640701,1569
"C-27",2015,87,103,104,"EFH",3,190,4,130,2014,1,2,"günstig",5000,14.4,67359,1305765.73621703,394
"AD-21",2010,230,109,110,"EFH",1,490,6,140,1924,0,3,"mittel",5000,19.8,66182,783961.733432487,1530
"T-30",2014,69,102,103,"STW",11,0,4,NA,1969,0,4,"gehoben",5000,6.4,81044,452322.780012735,1238
"M-33",2007,261,101,112,"STW",11,0,1,NA,1973,0,4,"gehoben",3342,3,44371,1136481.54768895,1128
