"gde_bfsnr","gde_name","raumplanreg_code","bezirk_code","bezirk","region"
1,"Aeugst a.A.",105,101,"Affoltern","Knonaueramt"
2,"Affoltern a.A.",105,101,"Affoltern","Knonaueramt"
3,"Bonstetten",105,101,"Affoltern","Knonaueramt"
4,"Hausen a.A.",105,101,"Affoltern","Knonaueramt"
5,"Hedingen",105,101,"Affoltern","Knonaueramt"
6,"Kappel a.A.",105,101,"Affoltern","Knonaueramt"
7,"Knonau",105,101,"Affoltern","Knonaueramt"
8,"Maschwanden",105,101,"Affoltern","Knonaueramt"
9,"Mettmenstetten",105,101,"Affoltern","Knonaueramt"
10,"Obfelden",105,101,"Affoltern","Knonaueramt"
11,"Ottenbach",105,101,"Affoltern","Knonaueramt"
12,"Rifferswil",105,101,"Affoltern","Knonaueramt"
13,"Stallikon",105,101,"Affoltern","Knonaueramt"
14,"Wettswil a.A.",105,101,"Affoltern","Knonaueramt"
21,"Adlikon",110,102,"Andelfingen","Weinland"
22,"Benken",110,102,"Andelfingen","Weinland"
23,"Berg a.I.",110,102,"Andelfingen","Weinland"
24,"Buch a.I.",110,102,"Andelfingen","Weinland"
25,"Dachsen",110,102,"Andelfingen","Weinland"
26,"Dorf",110,102,"Andelfingen","Weinland"
27,"Feuerthalen",110,102,"Andelfingen","Weinland"
28,"Flaach",110,102,"Andelfingen","Weinland"
29,"Flurlingen",110,102,"Andelfingen","Weinland"
30,"Andelfingen",110,102,"Andelfingen","Weinland"
31,"Henggart",110,102,"Andelfingen","Weinland"
32,"Humlikon",110,102,"Andelfingen","Weinland"
33,"Kleinandelfingen",110,102,"Andelfingen","Weinland"
34,"Laufen-Uhwiesen",110,102,"Andelfingen","Weinland"
35,"Marthalen",110,102,"Andelfingen","Weinland"
36,"Oberstammheim",110,102,"Andelfingen","Weinland"
37,"Ossingen",110,102,"Andelfingen","Weinland"
38,"Rheinau",110,102,"Andelfingen","Weinland"
39,"Thalheim a.d.Th.",110,102,"Andelfingen","Weinland"
40,"Trüllikon",110,102,"Andelfingen","Weinland"
41,"Truttikon",110,102,"Andelfingen","Weinland"
42,"Unterstammheim",110,102,"Andelfingen","Weinland"
43,"Volken",110,102,"Andelfingen","Weinland"
44,"Waltalingen",110,102,"Andelfingen","Weinland"
51,"Bachenbülach",111,103,"Bülach","Zürcher Unterland"
52,"Bassersdorf",102,103,"Bülach","Glattal"
53,"Bülach",111,103,"Bülach","Zürcher Unterland"
54,"Dietlikon",102,103,"Bülach","Glattal"
55,"Eglisau",111,103,"Bülach","Zürcher Unterland"
56,"Embrach",111,103,"Bülach","Zürcher Unterland"
57,"Freienstein-Teufen",111,103,"Bülach","Zürcher Unterland"
58,"Glattfelden",111,103,"Bülach","Zürcher Unterland"
59,"Hochfelden",111,103,"Bülach","Zürcher Unterland"
60,"Höri",111,103,"Bülach","Zürcher Unterland"
61,"Hüntwangen",111,103,"Bülach","Zürcher Unterland"
62,"Kloten",102,103,"Bülach","Glattal"
63,"Lufingen",111,103,"Bülach","Zürcher Unterland"
64,"Nürensdorf",102,103,"Bülach","Glattal"
65,"Oberembrach",111,103,"Bülach","Zürcher Unterland"
66,"Opfikon",102,103,"Bülach","Glattal"
67,"Rafz",111,103,"Bülach","Zürcher Unterland"
68,"Rorbas",111,103,"Bülach","Zürcher Unterland"
69,"Wallisellen",102,103,"Bülach","Glattal"
70,"Wasterkingen",111,103,"Bülach","Zürcher Unterland"
71,"Wil",111,103,"Bülach","Zürcher Unterland"
72,"Winkel",111,103,"Bülach","Zürcher Unterland"
81,"Bachs",111,104,"Dielsdorf","Zürcher Unterland"
82,"Boppelsen",103,104,"Dielsdorf","Furttal"
83,"Buchs",103,104,"Dielsdorf","Furttal"
84,"Dällikon",103,104,"Dielsdorf","Furttal"
85,"Dänikon",103,104,"Dielsdorf","Furttal"
86,"Dielsdorf",111,104,"Dielsdorf","Zürcher Unterland"
87,"Hüttikon",103,104,"Dielsdorf","Furttal"
88,"Neerach",111,104,"Dielsdorf","Zürcher Unterland"
89,"Niederglatt",111,104,"Dielsdorf","Zürcher Unterland"
90,"Niederhasli",111,104,"Dielsdorf","Zürcher Unterland"
91,"Niederweningen",111,104,"Dielsdorf","Zürcher Unterland"
92,"Oberglatt",111,104,"Dielsdorf","Zürcher Unterland"
93,"Oberweningen",111,104,"Dielsdorf","Zürcher Unterland"
94,"Otelfingen",103,104,"Dielsdorf","Furttal"
95,"Regensberg",111,104,"Dielsdorf","Zürcher Unterland"
96,"Regensdorf",103,104,"Dielsdorf","Furttal"
97,"Rümlang",102,104,"Dielsdorf","Glattal"
98,"Schleinikon",111,104,"Dielsdorf","Zürcher Unterland"
99,"Schöfflisdorf",111,104,"Dielsdorf","Zürcher Unterland"
100,"Stadel",111,104,"Dielsdorf","Zürcher Unterland"
101,"Steinmaur",111,104,"Dielsdorf","Zürcher Unterland"
102,"Weiach",111,104,"Dielsdorf","Zürcher Unterland"
111,"Bäretswil",108,105,"Hinwil","Zürcher Oberland"
112,"Bubikon",108,105,"Hinwil","Zürcher Oberland"
113,"Dürnten",108,105,"Hinwil","Zürcher Oberland"
114,"Fischenthal",108,105,"Hinwil","Zürcher Oberland"
115,"Gossau",108,105,"Hinwil","Zürcher Oberland"
116,"Grüningen",108,105,"Hinwil","Zürcher Oberland"
117,"Hinwil",108,105,"Hinwil","Zürcher Oberland"
118,"Rüti",108,105,"Hinwil","Zürcher Oberland"
119,"Seegräben",108,105,"Hinwil","Zürcher Oberland"
120,"Wald",108,105,"Hinwil","Zürcher Oberland"
121,"Wetzikon",108,105,"Hinwil","Zürcher Oberland"
131,"Adliswil",106,106,"Horgen","Zimmerberg"
134,"Hütten",106,106,"Horgen","Zimmerberg"
135,"Kilchberg",106,106,"Horgen","Zimmerberg"
136,"Langnau a.A.",106,106,"Horgen","Zimmerberg"
137,"Oberrieden",106,106,"Horgen","Zimmerberg"
138,"Richterswil",106,106,"Horgen","Zimmerberg"
139,"Rüschlikon",106,106,"Horgen","Zimmerberg"
140,"Schönenberg",106,106,"Horgen","Zimmerberg"
141,"Thalwil",106,106,"Horgen","Zimmerberg"
142,"Wädenswil",106,106,"Horgen","Zimmerberg"
151,"Erlenbach",107,107,"Meilen","Pfannenstiel"
152,"Herrliberg",107,107,"Meilen","Pfannenstiel"
153,"Hombrechtikon",107,107,"Meilen","Pfannenstiel"
154,"Küsnacht",107,107,"Meilen","Pfannenstiel"
155,"Männedorf",107,107,"Meilen","Pfannenstiel"
156,"Meilen",107,107,"Meilen","Pfannenstiel"
157,"Oetwil a.S.",107,107,"Meilen","Pfannenstiel"
158,"Stäfa",107,107,"Meilen","Pfannenstiel"
159,"Uetikon a.S.",107,107,"Meilen","Pfannenstiel"
160,"Zumikon",107,107,"Meilen","Pfannenstiel"
161,"Zollikon",107,107,"Meilen","Pfannenstiel"
172,"Fehraltorf",108,108,"Pfäffikon","Zürcher Oberland"
173,"Hittnau",108,108,"Pfäffikon","Zürcher Oberland"
176,"Lindau",109,108,"Pfäffikon","Winterthur und Umgebung"
177,"Pfäffikon",108,108,"Pfäffikon","Zürcher Oberland"
178,"Russikon",108,108,"Pfäffikon","Zürcher Oberland"
180,"Weisslingen",109,108,"Pfäffikon","Winterthur und Umgebung"
181,"Wila",108,108,"Pfäffikon","Zürcher Oberland"
182,"Wildberg",108,108,"Pfäffikon","Zürcher Oberland"
191,"Dübendorf",102,109,"Uster","Glattal"
192,"Egg",107,109,"Uster","Pfannenstiel"
193,"Fällanden",102,109,"Uster","Glattal"
194,"Greifensee",102,109,"Uster","Glattal"
195,"Maur",102,109,"Uster","Glattal"
196,"Mönchaltorf",108,109,"Uster","Zürcher Oberland"
197,"Schwerzenbach",102,109,"Uster","Glattal"
198,"Uster",108,109,"Uster","Zürcher Oberland"
199,"Volketswil",102,109,"Uster","Glattal"
200,"Wangen-Brüttisellen",102,109,"Uster","Glattal"
211,"Altikon",109,110,"Winterthur","Winterthur und Umgebung"
213,"Brütten",109,110,"Winterthur","Winterthur und Umgebung"
214,"Dägerlen",109,110,"Winterthur","Winterthur und Umgebung"
215,"Dättlikon",109,110,"Winterthur","Winterthur und Umgebung"
216,"Dinhard",109,110,"Winterthur","Winterthur und Umgebung"
218,"Ellikon a.d.Th.",109,110,"Winterthur","Winterthur und Umgebung"
219,"Elsau",109,110,"Winterthur","Winterthur und Umgebung"
220,"Hagenbuch",109,110,"Winterthur","Winterthur und Umgebung"
221,"Hettlingen",109,110,"Winterthur","Winterthur und Umgebung"
223,"Neftenbach",109,110,"Winterthur","Winterthur und Umgebung"
224,"Pfungen",109,110,"Winterthur","Winterthur und Umgebung"
225,"Rickenbach",109,110,"Winterthur","Winterthur und Umgebung"
226,"Schlatt",109,110,"Winterthur","Winterthur und Umgebung"
227,"Seuzach",109,110,"Winterthur","Winterthur und Umgebung"
228,"Turbenthal",109,110,"Winterthur","Winterthur und Umgebung"
230,"Winterthur",109,110,"Winterthur","Winterthur und Umgebung"
